1,answer by me,scored,90,230516STD02,Good Job !!!
2,test,scored,80,230516STD02,Nice
3,hello this is an answer,scored,85,230516STD02,Great
4,this is test 4,scored,70,230516STD02,Bad
5,this is test 5,scored,95,230516STD02,Excellent
6,this is test 6,scored,70,230516STD02,Needs Improvement
7,this is test 7,scored,75,230516STD02,Keep it up
8,this is test 8,scored,80,230516STD02,Satisfactory
9,this is test 9,scored,85,230516STD02,Outstanding
10,this is test 10,scored,90,230516STD02,Good Job
11,this is test 11,scored,95,230516STD02,Nice
12,this is test 12,scored,70,230516STD02,Great
13,this is test 13,scored,75,230516STD02,Bad
14,this is test 14,scored,80,230516STD02,Well Done
15,this is test 15,scored,85,230516STD02,Excellent
16,this is test 16,scored,90,230516STD02,Needs Improvement
17,this is test 17,scored,95,230516STD02,Keep it up
18,this is test 18,scored,70,230516STD02,Satisfactory
19,this is test 19,scored,75,230516STD02,Outstanding
20,this is test 20,scored,80,230516STD02,Good Job
21,this is test 21,scored,85,230516STD02,Nice
22,this is test 22,scored,90,230516STD02,Great
23,this is test 23,scored,95,230516STD02,Bad
24,this is test 24,scored,70,230516STD02,Well Done
25,this is test 25,scored,75,230516STD02,Excellent
26,this is test 26,scored,80,230516STD02,Needs Improvement
27,this is test 27,scored,85,230516STD02,Keep it up
28,this is test 28,scored,90,230516STD02,Satisfactory
29,this is test 29,scored,95,230516STD02,Outstanding
30,this is test 30,scored,70,230516STD02,Good Job